SKU,EBO_Qty,D2C_Qty,Total_Qty,Bagalur,EBO_Transfer,D2C_Transfer,Total_3PL_Transfer,Bhiwandi,Kolkata,Gurgaon
BPB174TRN10Y,0.0,3.0,3,3,0,0,0,0,0,0
BPB174TRN14Y,0.0,0.0,0,0,0,0,0,0,0,0
BPB179CGY08Y,4.0,18.0,22,22,0,0,0,0,0,0
BPB179CGY10Y,0.0,13.0,13,13,0,0,0,0,0,0
BPB179CGY12Y,0.0,1.0,1,1,0,0,0,0,0,0
BPB179CGY14Y,0.0,1.0,1,1,0,0,0,0,0,0
BPB179KHI08Y,0.0,3.0,3,3,0,0,0,0,0,0
BPB179KHI10Y,0.0,1.0,1,1,0,0,0,0,0,0
BPB179LRG08Y,0.0,8.0,8,8,0,0,0,0,0,0
BPB179LRG10Y,0.0,6.0,6,6,0,0,0,0,0,0
BPB179LTN10Y,0.0,3.0,3,3,0,0,0,0,0,0
BPB179NTC08Y,0.0,10.0,10,10,0,0,0,0,0,0
BPB179NTC10Y,0.0,17.0,17,17,0,0,0,0,0,0
BPB179NTC12Y,0.0,1.0,1,1,0,0,0,0,0,0
BPB198BLK08Y,0.0,1.0,1,1,0,0,0,0,0,0
BPB198BLK10Y,0.0,5.0,5,5,0,0,0,0,0,0
BPB198BLK12Y,0.0,48.0,48,41,0,7,7,3,3,1
BPB198BLK14Y,0.0,137.0,137,117,0,20,20,9,8,3
BPB198BOE08Y,0.0,2.0,2,2,0,0,0,0,0,0
BPB198BOE10Y,0.0,1.0,1,1,0,0,0,0,0,0
BPB198BOE12Y,0.0,84.0,84,72,0,12,12,6,5,1
BPB198BOE14Y,0.0,187.0,187,160,0,27,27,13,10,4
BPB198GFT08Y,0.0,0.0,0,0,0,0,0,0,0,0
BPB198GFT10Y,0.0,0.0,0,0,0,0,0,0,0,0
BPB198GFT12Y,0.0,80.0,80,68,0,12,12,6,5,1
BPB198GFT14Y,0.0,174.0,174,149,0,25,25,12,10,3
BPB198KHI08Y,0.0,0.0,0,0,0,0,0,0,0,0
BPB198KHI10Y,0.0,0.0,0,0,0,0,0,0,0,0
BPB198KHI12Y,0.0,53.0,53,45,0,8,8,4,3,1
BPB198KHI14Y,0.0,163.0,163,139,0,24,24,11,9,4
BPB198LTG08Y,0.0,0.0,0,0,0,0,0,0,0,0
BPB198LTG10Y,0.0,0.0,0,0,0,0,0,0,0,0
BPB198LTG12Y,0.0,51.0,51,44,0,7,7,3,3,1
BPB198LTG14Y,0.0,112.0,112,96,0,16,16,8,6,2
BPB198NYB08Y,0.0,5.0,5,5,0,0,0,0,0,0
BPB198NYB10Y,0.0,6.0,6,6,0,0,0,0,0,0
BPB198NYB12Y,0.0,72.0,72,62,0,10,10,5,4,1
BPB198NYB14Y,0.0,177.0,177,151,0,26,26,12,10,4
BPB199BLK08Y,12.0,14.0,26,26,0,0,0,0,0,0
BPB199BLK10Y,0.0,15.0,15,15,0,0,0,0,0,0
BPB199BLK12Y,48.0,55.0,103,70,18,15,33,16,13,4
BPB199BLK14Y,139.0,50.0,189,121,41,27,68,32,26,10
BPB199GFT08Y,0.0,3.0,3,3,0,0,0,0,0,0
BPB199GFT10Y,0.0,10.0,10,10,0,0,0,0,0,0
BPB199GFT12Y,0.0,13.0,13,13,0,0,0,0,0,0
BPB199GFT14Y,45.0,11.0,56,44,12,0,12,6,5,1
BPB199LTG08Y,0.0,6.0,6,6,0,0,0,0,0,0
BPB199LTG12Y,0.0,2.0,2,2,0,0,0,0,0,0
BPB199LTG14Y,0.0,22.0,22,20,0,2,2,1,1,0
BPB199NYB08Y,7.0,12.0,19,19,0,0,0,0,0,0
BPB199NYB10Y,5.0,12.0,17,17,0,0,0,0,0,0
BPB199NYB12Y,0.0,12.0,12,12,0,0,0,0,0,0
BPB199NYB14Y,72.0,18.0,90,71,19,0,19,9,7,3
BPB199WLG08Y,0.0,4.0,4,4,0,0,0,0,0,0
BPB199WLG10Y,0.0,4.0,4,4,0,0,0,0,0,0
BPB199WLG12Y,0.0,0.0,0,0,0,0,0,0,0,0
BPB199WLG14Y,6.0,16.0,22,22,0,0,0,0,0,0
BPB207BLK08Y,0.0,7.0,7,7,0,0,0,0,0,0
BPB207BLK10Y,0.0,12.0,12,12,0,0,0,0,0,0
BPB207BLK12Y,0.0,1.0,1,1,0,0,0,0,0,0
BPB207MYE08Y,4.0,11.0,15,15,0,0,0,0,0,0
BPB207MYE10Y,13.0,14.0,27,27,0,0,0,0,0,0
BPB207MYE12Y,10.0,12.0,22,22,0,0,0,0,0,0
BPB207MYE14Y,0.0,2.0,2,2,0,0,0,0,0,0
BPB207OGY08Y,4.0,17.0,21,21,0,0,0,0,0,0
BPB207OGY10Y,0.0,10.0,10,10,0,0,0,0,0,0
BPB207OGY12Y,0.0,4.0,4,4,0,0,0,0,0,0
BPB207OGY14Y,0.0,1.0,1,1,0,0,0,0,0,0
BPB207UGY08Y,0.0,7.0,7,7,0,0,0,0,0,0
BPB207UGY10Y,1.0,11.0,12,12,0,0,0,0,0,0
BPB207UGY12Y,0.0,4.0,4,4,0,0,0,0,0,0
BPB207UGY14Y,0.0,2.0,2,2,0,0,0,0,0,0
BPB207WLG08Y,1.0,21.0,22,21,0,1,1,0,0,1
BPB207WLG10Y,0.0,9.0,9,9,0,0,0,0,0,0
BPB207WLG12Y,0.0,6.0,6,6,0,0,0,0,0,0
BPB207WLG14Y,0.0,2.0,2,2,0,0,0,0,0,0
BPB216BLK08Y,0.0,3.0,3,3,0,0,0,0,0,0
BPB216BLK10Y,0.0,3.0,3,3,0,0,0,0,0,0
BPB216BLK12Y,62.0,50.0,112,72,24,16,40,19,16,5
BPB216BLK14Y,240.0,56.0,296,196,64,36,100,47,39,14
BPB216GFT08Y,0.0,7.0,7,7,0,0,0,0,0,0
BPB216GFT10Y,0.0,0.0,0,0,0,0,0,0,0,0
BPB216GFT12Y,0.0,7.0,7,7,0,0,0,0,0,0
BPB216GFT14Y,0.0,96.0,96,82,0,14,14,7,5,2
BPB216NYB08Y,0.0,1.0,1,1,0,0,0,0,0,0
BPB216NYB10Y,0.0,0.0,0,0,0,0,0,0,0,0
BPB216NYB12Y,0.0,0.0,0,0,0,0,0,0,0,0
BPB216NYB14Y,0.0,0.0,0,0,0,0,0,0,0,0
BPB216SKO08Y,0.0,1.0,1,1,0,0,0,0,0,0
BPB216SKO10Y,0.0,0.0,0,0,0,0,0,0,0,0
BPB216SKO12Y,0.0,7.0,7,7,0,0,0,0,0,0
BPB216SKO14Y,0.0,19.0,19,19,0,0,0,0,0,0
BPB216WLG08Y,0.0,1.0,1,1,0,0,0,0,0,0
BPB216WLG10Y,0.0,12.0,12,12,0,0,0,0,0,0
BPB216WLG12Y,0.0,15.0,15,15,0,0,0,0,0,0
BPB216WLG14Y,0.0,63.0,63,54,0,9,9,4,4,1
BPB231BLK08Y,10.0,17.0,27,27,0,0,0,0,0,0
BPB231BLK10Y,32.0,49.0,81,67,2,12,14,7,5,2
BPB231BLK12Y,135.0,56.0,191,122,41,28,69,33,27,9
BPB231BLK14Y,54.0,256.0,310,241,24,45,69,33,27,9
BPB231BTE08Y,2.0,10.0,12,12,0,0,0,0,0,0
BPB231BTE10Y,6.0,18.0,24,24,0,0,0,0,0,0
BPB231BTE12Y,16.0,48.0,64,55,0,9,9,4,4,1
BPB231BTE14Y,30.0,100.0,130,111,0,19,19,9,7,3
BPB231CNG08Y,2.0,11.0,13,13,0,0,0,0,0,0
BPB231CNG10Y,16.0,13.0,29,29,0,0,0,0,0,0
BPB231CNG12Y,16.0,53.0,69,59,0,10,10,5,4,1
BPB231CNG14Y,99.0,34.0,133,90,29,14,43,20,17,6
BPB231KHI08Y,2.0,10.0,12,12,0,0,0,0,0,0
BPB231KHI10Y,6.0,18.0,24,24,0,0,0,0,0,0
BPB231KHI12Y,19.0,47.0,66,56,0,10,10,5,4,1
BPB231KHI14Y,29.0,99.0,128,110,0,18,18,8,7,3
BPB231LTG08Y,0.0,28.0,28,24,0,4,4,2,2,0
BPB231LTG10Y,0.0,44.0,44,38,0,6,6,3,2,1
